"lakeid","year4","sta","depth","taxon","nreps","avg_ind","stdev_ind","avg_ind_per_m2","stdev_ind_per_m2","avg_ind_per_m3","stdev_ind_per_m3"
"CB",2001,1,2,"CHAOBORUS LARVAE",5,140.2,34.49,178.51,43.91,89.25,21.96
"CB",2001,1,2,"LEPTODORA",5,0.8,1.6,1.02,2.04,0.51,1.02
"CB",2001,1,2,"MYSIS",5,0,0,0,0,0,0
"CR",2001,1,19,"CHAOBORUS LARVAE",5,36.2,34.83,46.09,44.35,2.43,2.33
"CR",2001,1,19,"LEPTODORA",5,75.4,33.68,96,42.89,5.05,2.26
"CR",2001,1,19,"MYSIS",5,0,0,0,0,0,0
"SP",2001,1,17,"CHAOBORUS LARVAE",5,1.8,2.14,2.29,2.72,0.13,0.16
"SP",2001,1,17,"LEPTODORA",5,71.8,30.21,91.42,38.46,5.38,2.26
"SP",2001,1,17,"MYSIS",5,0,0,0,0,0,0
"TB",2001,1,7,"CHAOBORUS LARVAE",5,16.8,9.99,21.39,12.72,3.06,1.82
"TB",2001,1,7,"LEPTODORA",5,2,3.03,2.55,3.86,0.36,0.55
"TB",2001,1,7,"MYSIS",5,0,0,0,0,0,0
"TR",2001,4,10,"CHAOBORUS LARVAE",3,13.67,1.25,17.4,1.59,1.74,0.16
"TR",2001,4,10,"LEPTODORA",3,45,4.08,57.3,5.2,5.73,0.52
"TR",2001,4,10,"MYSIS",3,0,0,0,0,0,0
"TR",2001,5,15,"CHAOBORUS LARVAE",3,44.33,2.49,56.45,3.18,3.76,0.21
"TR",2001,5,15,"LEPTODORA",3,121.33,59.2,154.49,75.37,10.3,5.02
"TR",2001,5,15,"MYSIS",3,11.33,14.64,14.43,18.64,0.96,1.24
"TR",2001,6,20,"CHAOBORUS LARVAE",3,43.67,31.04,55.6,39.52,2.78,1.98
"TR",2001,6,20,"LEPTODORA",3,117.67,94.34,149.82,120.11,7.49,6.01
"TR",2001,6,20,"MYSIS",3,66,52.47,84.03,66.8,4.2,3.34
"TR",2001,7,25,"CHAOBORUS LARVAE",3,43.33,10.66,55.17,13.57,2.21,0.54
"TR",2001,7,25,"LEPTODORA",3,216.33,75.44,275.44,96.06,11.02,3.84
"TR",2001,7,25,"MYSIS",3,46,6.48,58.57,8.25,2.34,0.33
"TR",2001,2,33,"CHAOBORUS LARVAE",5,35.4,5.89,45.07,7.49,1.37,0.23
"TR",2001,2,33,"LEPTODORA",5,151.4,22.18,192.77,28.24,5.84,0.86
"TR",2001,2,33,"MYSIS",5,0,0,0,0,0,0
"AL",2002,1,7,"CHAOBORUS LARVAE",5,1360.2,433.95,1731.86,552.52,247.41,78.93
"AL",2002,1,7,"CHAOBORUS PUPAE",5,496.2,172.84,631.78,220.06,90.25,31.44
"AL",2002,1,7,"LEPTODORA",5,5.4,5.82,6.88,7.41,0.98,1.06
"AL",2002,1,7,"MYSIS",5,0,0,0,0,0,0
"BM",2002,1,18,"CHAOBORUS LARVAE",5,123.6,64.24,157.37,81.79,8.74,4.54
"BM",2002,1,18,"CHAOBORUS PUPAE",5,4,3.29,5.09,4.18,0.28,0.23
"BM",2002,1,18,"LEPTODORA",5,27,15.23,34.38,19.39,1.91,1.08
"BM",2002,1,18,"MYSIS",5,0,0,0,0,0,0
"CB",2002,1,2.5,"CHAOBORUS LARVAE",5,190.8,129.33,242.93,164.67,97.17,65.87
"CB",2002,1,2.5,"CHAOBORUS PUPAE",5,42.8,15.84,54.49,20.17,21.8,8.07
"CB",2002,1,2.5,"LEPTODORA",5,0,0,0,0,0,0
"CB",2002,1,2.5,"MYSIS",5,0,0,0,0,0,0
"CR",2002,1,19.5,"CHAOBORUS LARVAE",5,0.6,0.8,0.76,1.02,0.04,0.05
"CR",2002,1,19.5,"CHAOBORUS PUPAE",5,0,0,0,0,0,0
"CR",2002,1,19.5,"LEPTODORA",5,195.8,107.58,249.3,136.98,12.78,7.02
"CR",2002,1,19.5,"MYSIS",5,0,0,0,0,0,0
"SP",2002,1,18,"CHAOBORUS LARVAE",5,0.2,0.4,0.25,0.51,0.01,0.03
"SP",2002,1,18,"CHAOBORUS PUPAE",5,0,0,0,0,0,0
"SP",2002,1,18,"LEPTODORA",5,34.8,14.13,44.31,18,2.46,1
"SP",2002,1,18,"MYSIS",5,0,0,0,0,0,0
"TB",2002,1,7,"CHAOBORUS LARVAE",5,8,5.76,10.19,7.34,1.46,1.05
"TB",2002,1,7,"CHAOBORUS PUPAE",5,0,0,0,0,0,0
"TB",2002,1,7,"LEPTODORA",5,0,0,0,0,0,0
"TB",2002,1,7,"MYSIS",5,0,0,0,0,0,0
"TR",2002,4,10,"CHAOBORUS LARVAE",3,6.67,0.94,8.49,1.2,0.85,0.12
"TR",2002,4,10,"CHAOBORUS PUPAE",3,19.67,6.02,25.04,7.66,2.5,0.77
"TR",2002,4,10,"LEPTODORA",3,110.33,25,140.48,31.83,14.05,3.18
"TR",2002,4,10,"MYSIS",3,33.33,13.57,42.44,17.28,4.24,1.73
"TR",2002,5,15,"CHAOBORUS LARVAE",3,5.67,1.89,7.22,2.4,0.48,0.16
"TR",2002,5,15,"CHAOBORUS PUPAE",3,9.33,6.94,11.88,8.84,0.79,0.59
"TR",2002,5,15,"LEPTODORA",3,129,53.35,164.25,67.92,10.95,4.53
"TR",2002,5,15,"MYSIS",3,85.33,54.24,108.65,69.06,7.24,4.6
"TR",2002,6,20,"CHAOBORUS LARVAE",3,5.33,1.7,6.79,2.16,0.34,0.11
"TR",2002,6,20,"CHAOBORUS PUPAE",3,19,6.16,24.19,7.85,1.21,0.39
"TR",2002,6,20,"LEPTODORA",3,61,13.49,77.67,17.18,3.88,0.86
"TR",2002,6,20,"MYSIS",3,88,6.38,112.05,8.12,5.6,0.41
"TR",2002,7,25,"CHAOBORUS LARVAE",3,11.67,2.05,14.85,2.62,0.59,0.1
"TR",2002,7,25,"CHAOBORUS PUPAE",3,24,10.68,30.56,13.59,1.22,0.54
"TR",2002,7,25,"LEPTODORA",3,40.33,0.94,51.35,1.2,2.05,0.05
"TR",2002,7,25,"MYSIS",3,50.67,18.87,64.51,24.03,2.58,0.96
"TR",2002,2,30,"CHAOBORUS LARVAE",1,20,0,25.46,0,0.85,0
"TR",2002,2,30,"CHAOBORUS PUPAE",1,22,0,28.01,0,0.93,0
"TR",2002,2,30,"LEPTODORA",1,92,0,117.14,0,3.9,0
"TR",2002,2,30,"MYSIS",1,0,0,0,0,0,0
"TR",2002,2,32,"CHAOBORUS LARVAE",4,23.25,4.82,29.6,6.13,0.93,0.19
"TR",2002,2,32,"CHAOBORUS PUPAE",4,17,5.2,21.65,6.62,0.68,0.21
"TR",2002,2,32,"LEPTODORA",4,72.75,27.31,92.63,34.77,2.89,1.09
"TR",2002,2,32,"MYSIS",4,1.75,0.83,2.23,1.06,0.07,0.03
"AL",2003,1,5,"CHAOBORUS LARVAE",5,473.6,341.81,603.01,435.21,120.6,87.04
"AL",2003,1,5,"CHAOBORUS PUPAE",5,15.2,10.91,19.35,13.89,3.87,2.78
"AL",2003,1,5,"LEPTODORA",5,26.8,14.05,34.12,17.89,6.82,3.58
"AL",2003,1,5,"MYSIS",5,0,0,0,0,0,0
"BM",2003,1,18,"CHAOBORUS LARVAE",5,35,33.64,44.56,42.83,2.48,2.38
"BM",2003,1,18,"CHAOBORUS PUPAE",5,30.4,21.04,38.71,26.79,2.15,1.49
"BM",2003,1,18,"LEPTODORA",5,55.2,36.61,70.28,46.62,3.9,2.59
"BM",2003,1,18,"MYSIS",5,0,0,0,0,0,0
"CB",2003,1,2.5,"CHAOBORUS LARVAE",5,289.4,79.59,368.48,101.33,147.39,40.53
"CB",2003,1,2.5,"CHAOBORUS PUPAE",5,22.8,5.56,29.03,7.08,11.61,2.83
"CB",2003,1,2.5,"LEPTODORA",5,0,0,0,0,0,0
"CB",2003,1,2.5,"MYSIS",5,0,0,0,0,0,0
"CR",2003,1,18,"CHAOBORUS LARVAE",5,1.8,1.47,2.29,1.87,0.13,0.1
"CR",2003,1,18,"CHAOBORUS PUPAE",5,0,0,0,0,0,0
"CR",2003,1,18,"LEPTODORA",5,84.2,38.96,107.21,49.61,5.96,2.76
"CR",2003,1,18,"MYSIS",5,0,0,0,0,0,0
"SP",2003,1,16,"CHAOBORUS LARVAE",5,21.8,35.4,27.76,45.08,1.73,2.82
"SP",2003,1,16,"CHAOBORUS PUPAE",5,0.6,1.2,0.76,1.53,0.05,0.1
"SP",2003,1,16,"LEPTODORA",5,53.8,19.92,68.5,25.37,4.28,1.59
"SP",2003,1,16,"MYSIS",5,0,0,0,0,0,0
"TB",2003,1,5,"CHAOBORUS LARVAE",5,37.2,10.4,47.36,13.24,9.47,2.65
"TB",2003,1,5,"CHAOBORUS PUPAE",5,0,0,0,0,0,0
"TB",2003,1,5,"LEPTODORA",5,0,0,0,0,0,0
"TB",2003,1,5,"MYSIS",5,0,0,0,0,0,0
"TR",2003,4,9,"CHAOBORUS LARVAE",3,32,12.75,40.74,16.24,4.53,1.8
"TR",2003,4,9,"CHAOBORUS PUPAE",3,8,7.87,10.19,10.03,1.13,1.11
"TR",2003,4,9,"LEPTODORA",3,89.67,43.05,114.17,54.82,12.69,6.09
"TR",2003,4,9,"MYSIS",3,0,0,0,0,0,0
"TR",2003,5,13,"CHAOBORUS LARVAE",3,76,25.57,96.77,32.56,7.44,2.5
"TR",2003,5,13,"CHAOBORUS PUPAE",3,37.67,1.25,47.96,1.59,3.69,0.12
"TR",2003,5,13,"LEPTODORA",3,7,9.9,8.91,12.6,0.69,0.97
"TR",2003,5,13,"MYSIS",3,196.33,40.08,249.98,51.03,19.23,3.93
"TR",2003,6,19,"CHAOBORUS LARVAE",3,44.67,4.92,56.87,6.27,2.99,0.33
"TR",2003,6,19,"CHAOBORUS PUPAE",3,5.33,1.25,6.79,1.59,0.36,0.08
"TR",2003,6,19,"LEPTODORA",3,43,10.61,54.75,13.51,2.88,0.71
"TR",2003,6,19,"MYSIS",3,92,20.85,117.14,26.55,6.17,1.4
"TR",2003,7,22,"CHAOBORUS LARVAE",3,57.33,8.99,73,11.45,3.32,0.52
"TR",2003,7,22,"CHAOBORUS PUPAE",3,22,12.08,28.01,15.38,1.27,0.7
"TR",2003,7,22,"LEPTODORA",3,25.67,2.49,32.68,3.18,1.49,0.14
"TR",2003,7,22,"MYSIS",3,153.33,38.58,195.23,49.12,8.87,2.23
"TR",2003,2,30,"CHAOBORUS LARVAE",5,20,7.62,25.46,9.7,0.85,0.32
"TR",2003,2,30,"CHAOBORUS PUPAE",5,9.6,3.26,12.22,4.15,0.41,0.14
"TR",2003,2,30,"LEPTODORA",5,97.6,39.18,124.27,49.89,4.14,1.66
"TR",2003,2,30,"MYSIS",5,0.2,0.4,0.25,0.51,0.01,0.02
"AL",2004,1,7,"CHAOBORUS LARVAE",5,367.2,67.59,467.53,86.05,66.79,12.29
"AL",2004,1,7,"CHAOBORUS PUPAE",5,10.4,2.42,13.24,3.08,1.89,0.44
"AL",2004,1,7,"LEPTODORA",5,72.2,38.96,91.93,49.6,13.13,7.09
"AL",2004,1,7,"MYSIS",5,0,0,0,0,0,0
"BM",2004,1,18,"CHAOBORUS LARVAE",5,16.6,4.32,21.14,5.5,1.17,0.31
"BM",2004,1,18,"CHAOBORUS PUPAE",5,39.8,8.23,50.67,10.48,2.82,0.58
"BM",2004,1,18,"LEPTODORA",5,2.4,1.36,3.06,1.73,0.17,0.1
"BM",2004,1,18,"MYSIS",5,0,0,0,0,0,0
"CB",2004,1,2,"CHAOBORUS LARVAE",5,126.4,64.68,160.94,82.35,80.47,41.18
"CB",2004,1,2,"CHAOBORUS PUPAE",5,3,2.1,3.82,2.67,1.91,1.34
"CB",2004,1,2,"LEPTODORA",5,0,0,0,0,0,0
"CB",2004,1,2,"MYSIS",5,0,0,0,0,0,0
"CR",2004,1,19,"CHAOBORUS LARVAE",5,14.2,7.11,18.08,9.05,0.95,0.48
"CR",2004,1,19,"CHAOBORUS PUPAE",5,1.2,1.17,1.53,1.48,0.08,0.08
"CR",2004,1,19,"LEPTODORA",5,317,96.83,403.62,123.28,21.24,6.49
"CR",2004,1,19,"MYSIS",5,0,0,0,0,0,0
"SP",2004,1,18,"CHAOBORUS LARVAE",5,0.6,1.2,0.76,1.53,0.04,0.08
"SP",2004,1,18,"CHAOBORUS PUPAE",5,0,0,0,0,0,0
"SP",2004,1,18,"LEPTODORA",5,9,2.45,11.46,3.12,0.64,0.17
"SP",2004,1,18,"MYSIS",5,0,0,0,0,0,0
"TB",2004,1,7,"CHAOBORUS LARVAE",5,0.4,0.8,0.51,1.02,0.07,0.15
"TB",2004,1,7,"CHAOBORUS PUPAE",5,0,0,0,0,0,0
"TB",2004,1,7,"LEPTODORA",5,0,0,0,0,0,0
"TB",2004,1,7,"MYSIS",5,0,0,0,0,0,0
"TR",2004,4,10,"CHAOBORUS LARVAE",3,49,7.48,62.39,9.53,6.24,0.95
"TR",2004,4,10,"CHAOBORUS PUPAE",3,26.67,6.34,33.95,8.08,3.4,0.81
"TR",2004,4,10,"LEPTODORA",3,176.67,44.85,224.94,57.11,22.49,5.71
"TR",2004,4,10,"MYSIS",3,3,0.82,3.82,1.04,0.38,0.1
"TR",2004,5,15,"CHAOBORUS LARVAE",3,55.67,10.34,70.88,13.16,4.73,0.88
"TR",2004,5,15,"CHAOBORUS PUPAE",3,17.33,5.19,22.07,6.6,1.47,0.44
"TR",2004,5,15,"LEPTODORA",3,115.33,37.06,146.85,47.19,9.79,3.15
"TR",2004,5,15,"MYSIS",3,86,15.25,109.5,19.42,7.3,1.29
"TR",2004,6,20,"CHAOBORUS LARVAE",3,86.33,18.01,109.92,22.93,5.5,1.15
"TR",2004,6,20,"CHAOBORUS PUPAE",3,21.33,4.78,27.16,6.09,1.36,0.3
"TR",2004,6,20,"LEPTODORA",3,145.67,20.76,185.47,26.43,9.27,1.32
"TR",2004,6,20,"MYSIS",3,122,18.83,155.34,23.98,7.77,1.2
"TR",2004,7,25,"CHAOBORUS LARVAE",3,65.33,6.02,83.19,7.66,3.33,0.31
"TR",2004,7,25,"CHAOBORUS PUPAE",3,12.33,4.03,15.7,5.13,0.63,0.21
"TR",2004,7,25,"LEPTODORA",3,111.33,6.65,141.75,8.47,5.67,0.34
"TR",2004,7,25,"MYSIS",3,175.67,3.09,223.67,3.94,8.95,0.16
"TR",2004,2,31,"CHAOBORUS LARVAE",5,170,52.46,216.45,66.8,6.98,2.15
"TR",2004,2,31,"CHAOBORUS PUPAE",5,24.6,9.05,31.32,11.52,1.01,0.37
"TR",2004,2,31,"LEPTODORA",5,97.8,41.13,124.52,52.36,4.02,1.69
"TR",2004,2,31,"MYSIS",5,0.6,0.8,0.76,1.02,0.02,0.03
"AL",2005,1,7,"CHAOBORUS LARVAE",5,567.6,261.33,722.69,332.74,103.24,47.53
"AL",2005,1,7,"CHAOBORUS PUPAE",5,16.2,7.65,20.63,9.74,2.95,1.39
"AL",2005,1,7,"LEPTODORA",5,24.2,16.08,30.81,20.47,4.4,2.92
"AL",2005,1,7,"MYSIS",5,0,0,0,0,0,0
"BM",2005,1,19,"CHAOBORUS LARVAE",5,17,8.2,21.65,10.44,1.14,0.55
"BM",2005,1,19,"CHAOBORUS PUPAE",5,8.4,2.06,10.7,2.62,0.56,0.14
"BM",2005,1,19,"LEPTODORA",5,0,0,0,0,0,0
"BM",2005,1,19,"MYSIS",5,0,0,0,0,0,0
"CB",2005,1,2,"CHAOBORUS LARVAE",5,19.6,12.44,24.96,15.83,12.48,7.92
"CB",2005,1,2,"CHAOBORUS PUPAE",5,0,0,0,0,0,0
"CB",2005,1,2,"LEPTODORA",5,8.4,8.31,10.7,10.58,5.35,5.29
"CB",2005,1,2,"MYSIS",5,0,0,0,0,0,0
"CR",2005,1,19,"CHAOBORUS LARVAE",5,17.4,14.51,22.15,18.48,1.17,0.97
"CR",2005,1,19,"CHAOBORUS PUPAE",5,4,6.54,5.09,8.33,0.27,0.44
"CR",2005,1,19,"LEPTODORA",5,201.4,74.51,256.43,94.87,13.5,4.99
"CR",2005,1,19,"MYSIS",5,0,0,0,0,0,0
"SP",2005,1,18,"CHAOBORUS LARVAE",5,0,0,0,0,0,0
"SP",2005,1,18,"CHAOBORUS PUPAE",5,0.2,0.4,0.25,0.51,0.01,0.03
"SP",2005,1,18,"LEPTODORA",5,35.4,10.87,45.07,13.84,2.5,0.77
"SP",2005,1,18,"MYSIS",5,0,0,0,0,0,0
"TB",2005,1,7,"CHAOBORUS LARVAE",5,1.2,1.94,1.53,2.47,0.22,0.35
"TB",2005,1,7,"CHAOBORUS PUPAE",5,0,0,0,0,0,0
"TB",2005,1,7,"LEPTODORA",5,0,0,0,0,0,0
"TB",2005,1,7,"MYSIS",5,0,0,0,0,0,0
"TR",2005,4,10,"CHAOBORUS LARVAE",3,8.33,2.62,10.61,3.34,1.06,0.33
"TR",2005,4,10,"CHAOBORUS PUPAE",3,3.33,1.89,4.24,2.4,0.42,0.24
"TR",2005,4,10,"LEPTODORA",3,416.67,119.39,530.52,152.01,53.05,15.2
"TR",2005,4,10,"MYSIS",3,0,0,0,0,0,0
"TR",2005,5,15,"CHAOBORUS LARVAE",3,26.67,11.73,33.95,14.93,2.26,1
"TR",2005,5,15,"CHAOBORUS PUPAE",3,20,4.9,25.46,6.24,1.7,0.42
"TR",2005,5,15,"LEPTODORA",3,150.33,31.33,191.41,39.89,12.76,2.66
"TR",2005,5,15,"MYSIS",3,93.33,45.58,118.84,58.03,7.92,3.87
"TR",2005,6,20,"CHAOBORUS LARVAE",3,9.33,1.7,11.88,2.16,0.59,0.11
"TR",2005,6,20,"CHAOBORUS PUPAE",3,25.33,3.86,32.26,4.91,1.61,0.25
"TR",2005,6,20,"LEPTODORA",3,130,8.29,165.52,10.55,8.28,0.53
"TR",2005,6,20,"MYSIS",3,115,49.4,146.42,62.9,7.32,3.15
"TR",2005,7,25,"CHAOBORUS LARVAE",3,19,4.32,24.19,5.5,0.97,0.22
"TR",2005,7,25,"CHAOBORUS PUPAE",3,24,11.43,30.56,14.55,1.22,0.58
"TR",2005,7,25,"LEPTODORA",3,130.33,25.38,165.95,32.32,6.64,1.29
"TR",2005,7,25,"MYSIS",3,155,50.46,197.35,64.25,7.89,2.57
"TR",2005,2,32,"CHAOBORUS LARVAE",5,25.6,6.09,32.59,7.75,1.02,0.24
"TR",2005,2,32,"CHAOBORUS PUPAE",5,10.6,5.75,13.5,7.32,0.42,0.23
"TR",2005,2,32,"LEPTODORA",5,94.8,35.22,120.7,44.85,3.77,1.4
"TR",2005,2,32,"MYSIS",5,0,0,0,0,0,0
"AL",2006,1,7,"CHAOBORUS LARVAE",5,748.6,179.33,953.15,228.34,136.16,32.62
"AL",2006,1,7,"CHAOBORUS PUPAE",5,25,15.31,31.83,19.49,4.55,2.78
"AL",2006,1,7,"LEPTODORA",5,22,10.81,28.01,13.76,4,1.97
"AL",2006,1,7,"MYSIS",5,0,0,0,0,0,0
"BM",2006,1,18,"CHAOBORUS LARVAE",5,304,44.88,387.06,57.14,21.5,3.17
"BM",2006,1,18,"CHAOBORUS PUPAE",5,89.4,43.51,113.83,55.4,6.32,3.08
"BM",2006,1,18,"LEPTODORA",5,153.8,42.33,195.82,53.9,10.88,2.99
"BM",2006,1,18,"MYSIS",5,0,0,0,0,0,0
"CB",2006,1,2,"CHAOBORUS LARVAE",5,159.6,30.47,203.21,38.79,101.6,19.4
"CB",2006,1,2,"CHAOBORUS PUPAE",5,2,1.26,2.55,1.61,1.27,0.81
"CB",2006,1,2,"LEPTODORA",5,0,0,0,0,0,0
"CB",2006,1,2,"MYSIS",5,0,0,0,0,0,0
"CR",2006,1,18,"CHAOBORUS LARVAE",5,0.2,0.4,0.25,0.51,0.01,0.03
"CR",2006,1,18,"CHAOBORUS PUPAE",5,0,0,0,0,0,0
"CR",2006,1,18,"LEPTODORA",5,78.2,23.8,99.57,30.31,5.53,1.68
"CR",2006,1,18,"MYSIS",5,0,0,0,0,0,0
"SP",2006,1,18,"CHAOBORUS LARVAE",5,6.8,6.27,8.66,7.99,0.48,0.44
"SP",2006,1,18,"CHAOBORUS PUPAE",5,1.8,2.23,2.29,2.84,0.13,0.16
"SP",2006,1,18,"LEPTODORA",5,13.2,5.11,16.81,6.51,0.93,0.36
"SP",2006,1,18,"MYSIS",5,0,0,0,0,0,0
"TB",2006,1,6,"CHAOBORUS LARVAE",5,1.2,1.17,1.53,1.48,0.25,0.25
"TB",2006,1,6,"CHAOBORUS PUPAE",5,0.2,0.4,0.25,0.51,0.04,0.08
"TB",2006,1,6,"LEPTODORA",5,0,0,0,0,0,0
"TB",2006,1,6,"MYSIS",5,0,0,0,0,0,0
"TR",2006,4,10,"CHAOBORUS LARVAE",3,26.67,8.96,33.95,11.4,3.4,1.14
"TR",2006,4,10,"CHAOBORUS PUPAE",3,19,8.64,24.19,11,2.42,1.1
"TR",2006,4,10,"LEPTODORA",3,230,62.03,292.85,78.98,29.28,7.9
"TR",2006,4,10,"MYSIS",3,1,1.41,1.27,1.8,0.13,0.18
"TR",2006,5,15,"CHAOBORUS LARVAE",3,1.67,1.25,2.12,1.59,0.14,0.11
"TR",2006,5,15,"CHAOBORUS PUPAE",3,5,3.74,6.37,4.76,0.42,0.32
"TR",2006,5,15,"LEPTODORA",3,743,112.38,946.02,143.08,63.07,9.54
"TR",2006,5,15,"MYSIS",3,111.67,53.8,142.18,68.51,9.48,4.57
"TR",2006,6,20,"CHAOBORUS LARVAE",3,17.33,3.68,22.07,4.69,1.1,0.23
"TR",2006,6,20,"CHAOBORUS PUPAE",3,4.33,2.05,5.52,2.62,0.28,0.13
"TR",2006,6,20,"LEPTODORA",3,119,28.58,151.52,36.39,7.58,1.82
"TR",2006,6,20,"MYSIS",3,27.33,10.66,34.8,13.57,1.74,0.68
"TR",2006,7,25,"CHAOBORUS LARVAE",3,25.67,4.5,32.68,5.73,1.31,0.23
"TR",2006,7,25,"CHAOBORUS PUPAE",3,21.33,8.5,27.16,10.82,1.09,0.43
"TR",2006,7,25,"LEPTODORA",3,225.33,7.13,286.9,9.08,11.48,0.36
"TR",2006,7,25,"MYSIS",3,10.67,2.49,13.58,3.18,0.54,0.13
"TR",2006,2,30,"CHAOBORUS LARVAE",5,16.4,1.02,20.88,1.3,0.7,0.04
"TR",2006,2,30,"CHAOBORUS PUPAE",5,27,5.93,34.38,7.55,1.15,0.25
"TR",2006,2,30,"LEPTODORA",5,215.6,46.45,274.51,59.14,9.15,1.97
"TR",2006,2,30,"MYSIS",5,0,0,0,0,0,0
"AL",2007,1,7,"CHAOBORUS LARVAE",5,362.2,54.86,461.17,69.85,65.88,9.98
"AL",2007,1,7,"CHAOBORUS PUPAE",5,22.6,5,28.78,6.37,4.11,0.91
"AL",2007,1,7,"LEPTODORA",5,68.2,28.32,86.83,36.06,12.4,5.15
"AL",2007,1,7,"MYSIS",5,0,0,0,0,0,0
"BM",2007,1,18,"CHAOBORUS LARVAE",5,109.2,13.06,139.04,16.63,7.72,0.92
"BM",2007,1,18,"CHAOBORUS PUPAE",5,173.4,24.08,220.78,30.66,12.27,1.7
"BM",2007,1,18,"LEPTODORA",5,64.4,13.48,82,17.17,4.56,0.95
"BM",2007,1,18,"MYSIS",5,0,0,0,0,0,0
"CB",2007,1,2,"CHAOBORUS LARVAE",5,35.2,17.14,44.82,21.82,22.41,10.91
"CB",2007,1,2,"CHAOBORUS PUPAE",5,3,2.76,3.82,3.51,1.91,1.76
"CB",2007,1,2,"LEPTODORA",5,0,0,0,0,0,0
"CB",2007,1,2,"MYSIS",5,0,0,0,0,0,0
"CR",2007,1,19,"CHAOBORUS LARVAE",5,0.6,1.2,0.76,1.53,0.04,0.08
"CR",2007,1,19,"CHAOBORUS PUPAE",5,0,0,0,0,0,0
"CR",2007,1,19,"LEPTODORA",5,634.6,133.76,808,170.3,42.53,8.96
"CR",2007,1,19,"MYSIS",5,0,0,0,0,0,0
"SP",2007,1,18,"CHAOBORUS LARVAE",5,6.2,7.55,7.89,9.61,0.44,0.53
"SP",2007,1,18,"CHAOBORUS PUPAE",5,1.2,0.98,1.53,1.25,0.08,0.07
"SP",2007,1,18,"LEPTODORA",5,79.2,10.63,100.84,13.53,5.6,0.75
"SP",2007,1,18,"MYSIS",5,0,0,0,0,0,0
"TB",2007,1,7,"CHAOBORUS LARVAE",5,0,0,0,0,0,0
"TB",2007,1,7,"CHAOBORUS PUPAE",5,0,0,0,0,0,0
"TB",2007,1,7,"LEPTODORA",5,0,0,0,0,0,0
"TB",2007,1,7,"MYSIS",5,0,0,0,0,0,0
"TR",2007,4,10,"CHAOBORUS LARVAE",3,43,8.6,54.75,10.95,5.47,1.1
"TR",2007,4,10,"CHAOBORUS PUPAE",3,15.33,4.5,19.52,5.73,1.95,0.57
"TR",2007,4,10,"LEPTODORA",3,190.67,49.28,242.76,62.74,24.28,6.27
"TR",2007,4,10,"MYSIS",3,0.33,0.47,0.42,0.6,0.04,0.06
"TR",2007,5,15,"CHAOBORUS LARVAE",3,38.67,3.86,49.23,4.91,3.28,0.33
"TR",2007,5,15,"CHAOBORUS PUPAE",3,36.33,6.65,46.26,8.47,3.08,0.56
"TR",2007,5,15,"LEPTODORA",3,135,38.19,171.89,48.63,11.46,3.24
"TR",2007,5,15,"MYSIS",3,177.67,46.91,226.21,59.72,15.08,3.98
"TR",2007,6,20,"CHAOBORUS LARVAE",3,39,3.27,49.66,4.16,2.48,0.21
"TR",2007,6,20,"CHAOBORUS PUPAE",3,26,1.63,33.1,2.08,1.66,0.1
"TR",2007,6,20,"LEPTODORA",3,180,13.59,229.18,17.3,11.46,0.87
"TR",2007,6,20,"MYSIS",3,160.67,20.85,204.57,26.55,10.23,1.33
"TR",2007,7,25,"CHAOBORUS LARVAE",3,20.33,2.36,25.89,3,1.04,0.12
"TR",2007,7,25,"CHAOBORUS PUPAE",3,19,3.56,24.19,4.53,0.97,0.18
"TR",2007,7,25,"LEPTODORA",3,108.67,18.73,138.36,23.85,5.53,0.95
"TR",2007,7,25,"MYSIS",3,102.33,18.57,130.29,23.65,5.21,0.95
"TR",2007,2,32,"CHAOBORUS LARVAE",5,99.8,16.65,127.07,21.2,3.97,0.66
"TR",2007,2,32,"CHAOBORUS PUPAE",5,34.2,5.71,43.54,7.27,1.36,0.23
"TR",2007,2,32,"LEPTODORA",5,80.8,11.7,102.88,14.9,3.21,0.47
"TR",2007,2,32,"MYSIS",5,0,0,0,0,0,0
"AL",2008,1,7,"CHAOBORUS LARVAE",5,1063.4,318,1353.96,404.89,193.42,57.84
"AL",2008,1,7,"CHAOBORUS PUPAE",5,35.6,50.87,45.33,64.77,6.48,9.25
"AL",2008,1,7,"LEPTODORA",5,23.8,8.93,30.3,11.37,4.33,1.62
"AL",2008,1,7,"MYSIS",5,0,0,0,0,0,0
"BM",2008,1,19,"CHAOBORUS LARVAE",5,123.2,49.4,156.86,62.9,8.26,3.31
"BM",2008,1,19,"CHAOBORUS PUPAE",5,51.2,12.06,65.19,15.35,3.43,0.81
"BM",2008,1,19,"LEPTODORA",5,41.2,20.47,52.46,26.06,2.76,1.37
"BM",2008,1,19,"MYSIS",5,0,0,0,0,0,0
"CB",2008,1,2,"CHAOBORUS LARVAE",5,91.2,33.75,116.12,42.98,58.06,21.49
"CB",2008,1,2,"CHAOBORUS PUPAE",5,0.8,0.4,1.02,0.51,0.51,0.25
"CB",2008,1,2,"LEPTODORA",5,0,0,0,0,0,0
"CB",2008,1,2,"MYSIS",5,0,0,0,0,0,0
"CR",2008,1,19,"CHAOBORUS LARVAE",5,1.6,1.36,2.04,1.73,0.11,0.09
"CR",2008,1,19,"CHAOBORUS PUPAE",5,0,0,0,0,0,0
